ID,Face_Shape,TrialNum,Face_Set,Morph_Type,Pic_Number,Dom
532,2,13,2,2,20,6
532,2,14,1,2,603,5
532,2,15,1,2,608,6
532,2,16,1,2,638,4
532,2,17,2,2,81,5
532,2,18,2,2,150,
532,2,19,1,1,625,4
532,2,20,1,2,601,6
532,2,21,2,2,141,5
532,2,22,1,2,569,5
532,2,23,1,1,563,4
532,2,24,2,1,81,4
532,2,25,2,1,91,5
532,2,26,1,1,628,4
532,2,27,1,1,603,4
532,2,28,1,1,592,6
532,2,29,2,1,42,5
532,2,30,2,2,131,4
532,2,31,2,1,110,5
532,2,32,2,2,45,5
532,2,33,2,1,60,5
532,2,34,2,1,76,5
532,2,35,1,1,568,4
532,2,36,1,2,631,5
532,2,37,1,2,621,6
532,2,38,1,1,630,5
532,2,39,2,2,7,6
532,2,40,1,1,608,6
533,2,1,2,1,16,5
533,2,2,1,2,673,6
533,2,3,2,1,8,3
533,2,4,1,2,608,5
533,2,5,1,1,625,4
533,2,6,2,2,98,4
533,2,7,1,2,592,3
533,2,8,2,1,30,4
533,2,9,1,1,623,4
533,2,10,1,2,563,5
533,2,11,1,2,526,6
533,2,12,1,1,521,3
533,2,13,2,1,13,4
533,2,14,1,2,541,5
533,2,15,1,1,608,5
533,2,16,2,1,81,6
533,2,17,2,2,68,4
533,2,18,1,1,630,5
533,2,19,2,1,33,4
533,2,20,1,2,632,4
533,2,21,1,2,643,5
533,2,22,2,1,142,4
533,2,23,2,2,80,5
533,2,24,1,1,673,6
533,2,25,1,1,631,5
533,2,26,2,1,11,3
533,2,27,2,2,105,4
533,2,28,1,2,631,5
533,2,29,2,1,43,4
533,2,30,2,2,75,4
533,2,31,2,1,110,3
533,2,32,2,2,81,5
533,2,33,2,2,153,5
533,2,34,2,2,11,5
533,2,35,1,1,526,6
533,2,36,1,2,569,5
533,2,37,1,1,568,3
533,2,38,1,1,604,4
533,2,39,2,2,71,4
533,2,40,2,2,161,5
534,2,1,1,2,632,6
534,2,2,1,1,608,6
534,2,3,2,1,80,4
534,2,4,2,2,153,5
534,2,5,2,1,49,2
534,2,6,1,2,641,3
534,2,7,1,1,605,3
534,2,8,2,1,43,2
534,2,9,1,1,529,6
534,2,10,2,1,42,5
534,2,11,1,1,518,3
534,2,12,2,1,76,4
534,2,13,2,1,13,3
534,2,14,1,1,592,3
534,2,15,2,2,63,4
534,2,16,1,1,541,5
534,2,17,1,1,526,7
534,2,18,1,1,623,4
534,2,19,2,1,41,3
534,2,20,2,2,100,5
534,2,21,2,2,105,3
534,2,22,2,2,40,3
534,2,23,2,1,162,3
534,2,24,1,2,628,2
534,2,25,1,2,638,2
534,2,26,2,2,106,2
534,2,27,2,2,71,3
534,2,28,2,2,42,3
534,2,29,1,2,504,3
534,2,30,1,2,529,2
534,2,31,2,1,33,1
534,2,32,2,2,131,1
534,2,33,1,1,641,2
534,2,34,1,2,604,2
534,2,35,1,2,531,5
534,2,36,2,2,141,2
534,2,37,1,2,617,2
534,2,38,1,1,640,2
534,2,39,2,1,81,3
534,2,40,1,2,569,2
535,2,1,2,2,61,3
535,2,2,1,2,632,5
535,2,3,2,1,13,1
535,2,4,2,2,52,6
535,2,5,2,2,37,5
535,2,6,1,1,628,1
535,2,7,2,2,49,5
535,2,8,1,1,526,3
535,2,9,1,2,640,6
535,2,10,1,2,628,3
535,2,11,1,1,518,2
535,2,12,2,2,71,6
535,2,13,2,1,7,4
535,2,14,1,2,601,5
535,2,15,2,2,96,4
535,2,16,1,1,608,3
535,2,17,1,1,533,4
535,2,18,1,1,625,1
535,2,19,2,1,71,4
535,2,20,2,2,40,3
535,2,21,2,2,75,4
535,2,22,1,2,623,2
535,2,23,1,2,522,5
535,2,24,2,1,162,2
535,2,25,2,1,63,1
535,2,26,2,2,76,6
535,2,27,2,1,20,3
535,2,28,2,1,41,1
535,2,29,1,1,640,5
535,2,30,1,1,631,3
535,2,31,1,2,504,5
535,2,32,1,2,533,4
535,2,33,2,1,113,1
535,2,34,2,2,109,5
535,2,35,1,2,638,4
535,2,36,1,1,504,2
535,2,37,2,1,48,1
535,2,38,1,1,673,2
535,2,39,1,2,512,6
535,2,40,2,1,153,2
536,2,1,1,1,592,5
536,2,2,2,2,5,5
536,2,3,1,2,522,6
536,2,4,2,1,37,4
536,2,5,2,2,30,5
536,2,6,1,2,533,6
536,2,7,1,2,518,4
536,2,8,1,2,630,
536,2,9,2,1,65,
536,2,10,1,2,673,
536,2,11,2,1,80,4
536,2,12,1,2,521,3
536,2,13,2,2,57,5
536,2,14,2,2,47,5
536,2,15,1,2,531,3
536,2,16,1,1,504,4
536,2,17,1,1,638,2
536,2,18,2,1,63,3
536,2,19,2,2,26,
536,2,20,1,2,504,4
536,2,21,2,1,62,3
536,2,22,1,1,603,4
536,2,23,1,2,672,4
536,2,24,2,1,75,3
536,2,25,1,1,608,5
536,2,26,2,2,116,5
536,2,27,2,2,52,6
536,2,28,1,1,643,4
536,2,29,1,1,526,4
536,2,30,2,1,98,4
536,2,31,2,1,52,
536,2,32,2,1,162,4
536,2,33,1,1,617,3
536,2,34,2,2,142,5
536,2,35,2,2,42,5
536,2,36,1,1,541,
536,2,37,2,2,70,4
536,2,38,1,1,632,3
536,2,39,1,2,621,3
536,2,40,2,1,73,3
537,2,1,1,1,672,5
537,2,2,1,1,521,4
537,2,3,1,1,518,2
537,2,4,1,2,533,5
537,2,5,1,2,504,3
537,2,6,1,2,531,6
537,2,7,2,2,49,5
537,2,8,1,1,623,6
537,2,9,1,2,521,4
537,2,10,2,1,9,3
537,2,11,2,1,153,5
537,2,12,2,1,111,4
537,2,13,2,1,150,3
537,2,14,2,1,73,5
537,2,15,1,1,631,5
537,2,16,2,2,109,4
537,2,17,2,1,91,4
537,2,18,2,1,16,5
537,2,19,1,2,569,6
537,2,20,2,2,45,5
537,2,21,2,2,98,4
537,2,22,2,2,37,5
537,2,23,2,1,47,5
537,2,24,1,2,603,5
537,2,25,2,2,5,4
537,2,26,1,1,568,3
537,2,27,2,1,142,3
537,2,28,1,2,625,4
537,2,29,2,2,43,3
537,2,30,1,1,526,5
537,2,31,2,1,66,5
537,2,32,1,1,643,5
537,2,33,2,2,65,3
537,2,34,1,2,605,5
537,2,35,2,2,9,3
537,2,36,1,1,608,6
537,2,37,1,1,640,6
537,2,38,1,2,638,3
537,2,39,2,2,38,5
537,2,40,1,2,608,6
538,2,1,1,2,640,5
538,2,2,2,1,73,3
538,2,3,2,1,20,4
538,2,4,1,1,604,4
538,2,5,2,1,91,4
538,2,6,1,2,638,5
538,2,7,2,2,131,5
538,2,8,2,1,141,5
538,2,9,2,1,81,5
538,2,10,2,1,71,5
538,2,11,2,1,161,3
538,2,12,1,1,601,6
538,2,13,1,1,522,5
538,2,14,2,2,86,4
538,2,15,1,1,617,5
538,2,16,1,2,621,5
538,2,17,1,1,504,5
538,2,18,2,2,43,3
538,2,19,1,2,533,5
538,2,20,1,2,623,5
538,2,21,2,2,40,5
538,2,22,1,2,604,4
538,2,23,2,1,40,3
538,2,24,1,1,643,3
538,2,25,1,1,563,6
538,2,26,2,2,11,5
538,2,27,1,1,628,3
538,2,28,1,2,630,5
538,2,29,2,1,70,5
538,2,30,2,2,69,5
538,2,31,1,2,673,5
538,2,32,2,2,81,5
538,2,33,1,1,529,4
538,2,34,1,1,518,
538,2,35,2,2,61,5
538,2,36,1,2,628,3
538,2,37,1,2,541,5
538,2,38,2,2,109,3
538,2,39,2,1,80,3
538,2,40,2,2,111,5
539,2,1,1,1,603,2
539,2,2,2,2,71,4
539,2,3,1,1,628,5
539,2,4,1,2,592,3
539,2,5,2,1,9,5
